mouseEntryTime,mouseName,mouseRFID,tunnelID,taskType,phaseID,pGo,Stim. freq (Hz),Stim. amp,ITI,stimulusType,stimulusSide,stimulusTime,stimDuration(sec),timeout(sec),trialType,responseWindow(sec),mouseResponse,responseTimes,isLickBeforeStimulus,autoReward,punishment,preLicks,rand_delay_after_cue,ITI_blocks,cueStartTime,is_water,start_delay_min,start_delay_max,out_resp_prelick
2023-06-05 09:51:22.998336,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685947885.2981915, 1685947885.8504982, 1685947885.9513187, 1685947886.0519848, 1685947886.4535103, 1685947886.5543182, 1685947886.8556907, 1685947886.9565089, 1685947887.458162, 1685947887.55895, 1685947887.8601742, 1685947887.960996]",True,,,"[1685947884.3511953, 1685947884.4025607, 1685947884.6031165, 1685947884.7472203, 1685947884.7985432, 1685947884.8745453, 1685947884.9265115, 1685947885.0270526]",0.75,15,1685947884.347706,1,0.75,0.75,0.0
2023-06-05 09:51:32.428542,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685947894.727205, 1685947895.1790535, 1685947895.4803739, 1685947895.5810502, 1685947895.6817317, 1685947896.0831144, 1685947896.1840146, 1685947896.4853148, 1685947896.886843, 1685947897.1878927, 1685947897.388795]",True,,,"[1685947893.7767167, 1685947893.9898694, 1685947894.040312, 1685947894.090698, 1685947894.1412165, 1685947894.1966248, 1685947894.2700882, 1685947894.3205738, 1685947894.4330325]",0.75,15,1685947893.776539,1,0.75,0.75,0.0
2023-06-05 09:51:41.848237,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685947904.2478993, 1685947904.999827, 1685947905.1007726, 1685947905.201407, 1685947905.703083, 1685947906.4054697, 1685947906.6065712, 1685947906.9078727]",True,,,"[1685947903.1974182, 1685947903.3307161, 1685947903.4635997, 1685947903.7589686, 1685947903.8094954, 1685947903.859939]",0.75,15,1685947903.1972706,1,0.75,0.75,0.0
2023-06-05 09:51:51.264762,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,NoLick,[],True,,,"[1685947912.6798763, 1685947912.730379, 1685947912.7808259, 1685947913.013079, 1685947913.1030502, 1685947913.1535802, 1685947913.2400916, 1685947913.3437078, 1685947913.3944187]",0.75,15,1685947912.6136603,0,0.75,0.75,0.0
2023-06-05 09:51:58.391365,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685947920.63536, 1685947920.9863396, 1685947921.0868075, 1685947921.187314, 1685947921.2879202, 1685947921.3885286, 1685947921.4891675, 1685947921.9905877, 1685947922.1915267, 1685947922.2921412, 1685947922.593202, 1685947922.6938643, 1685947922.794581]",True,,,"[1685947919.7399113, 1685947919.9993398, 1685947920.0498865, 1685947920.1185849, 1685947920.1691232, 1685947920.2195945, 1685947920.2701547, 1685947920.3206086, 1685947920.4843698]",0.75,15,1685947919.7397401,1,0.75,0.75,0.0
2023-06-05 09:52:07.866212,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685947930.2667553, 1685947930.6179938, 1685947930.7186246, 1685947930.8192616, 1685947931.120352, 1685947931.2210698, 1685947931.3217218, 1685947931.522712, 1685947931.7238755, 1685947931.8247523, 1685947932.1260378, 1685947932.4273188]",True,,,"[1685947929.276199, 1685947929.3268337, 1685947929.3772795, 1685947929.5664887, 1685947929.6169612, 1685947929.6674109, 1685947929.7178936, 1685947929.7682593, 1685947929.8302248, 1685947929.8807032]",0.75,15,1685947929.2158868,1,0.75,0.75,0.0
2023-06-05 09:52:17.280054,R13,210805003418,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685947939.580264, 1685947939.9326377, 1685947940.0332866, 1685947940.1339464, 1685947940.4352872, 1685947940.5361876, 1685947940.6367986, 1685947941.4392083]",True,,,"[1685947938.6297765, 1685947938.7357879, 1685947938.7863085, 1685947939.0104492, 1685947939.1134443, 1685947939.1640172, 1685947939.2717962]",0.75,15,1685947938.6296299,1,0.75,0.75,0.0
2023-06-05 09:52:43.304191,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685947964.0352268, 1685947964.120474, 1685947964.3795924, 1685947964.431013, 1685947964.5351198, 1685947964.7602856, 1685947964.8106017, 1685947964.9105616, 1685947965.4647932, 1685947965.6775925]",,,,,,,0,0.75,0.75,0.0
2023-06-05 09:53:15.567803,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685947996.785728, 1685947996.8360689, 1685947996.8863835, 1685947996.9367044, 1685947996.9870017, 1685947997.037247, 1685947997.0874615, 1685947997.1377177, 1685947997.1879418, 1685947997.2442658, 1685947997.2944732]",,,,,,,0,0.75,0.75,0.0
2023-06-05 09:54:32.877466,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,NoLick,[],,,,,,,0,0.75,0.75,0.0
2023-06-05 09:54:39.653199,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685948080.4346075, 1685948080.484936, 1685948080.567715, 1685948080.6180341, 1685948080.6683555, 1685948080.9808824, 1685948081.0311563, 1685948081.170823, 1685948081.3311617, 1685948081.3814685]",,,,,,,0,0.75,0.75,0.0
2023-06-05 09:55:02.427983,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685948103.1369054, 1685948103.1872363, 1685948103.2375426, 1685948103.2878578, 1685948103.7136095, 1685948103.8674867, 1685948103.9177468, 1685948103.967956, 1685948104.0515065, 1685948104.1017237, 1685948104.224719, 1685948104.2750285, 1685948104.325244, 1685948104.3755636, 1685948104.479859, 1685948104.5301797]",,,,,,,0,0.75,0.75,0.0
2023-06-05 09:55:13.951829,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685948114.5054188, 1685948114.5556297]",,,,,,,0,0.75,0.75,0.0
2023-06-05 09:55:36.479037,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685948137.455252, 1685948137.50559, 1685948137.6278653, 1685948137.683863, 1685948137.7340634, 1685948137.7843952, 1685948138.5026543, 1685948138.5529764, 1685948138.603258, 1685948138.7381663]",,,,,,,0,0.75,0.75,0.0
2023-06-05 09:55:44.907597,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,NoLick,[],,,,,,,0,0.75,0.75,0.0
2023-06-05 09:56:46.025681,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,thirsty mouse,,Lick,"[1685948206.9160051, 1685948206.9663444, 1685948207.9455974, 1685948207.9959457, 1685948208.121775, 1685948208.172107, 1685948208.423743, 1685948208.4740684]",,,,,,,0,0.75,0.75,0.0
