 ,Mean1,Mean2,Mean3,Mean4
264,47.553,31.559,15.366,21.418
265,48.642,32.482,12.507,19.174
266,40.940,40.153,25.961,18.366
267,43.103,37.308,18.893,25.749
268,41.847,32.467,21.229,21.661
269,46.500,32.889,20.429,24.907
270,51.381,28.003,15.693,20.803
271,56.016,33.220,9.054,24.244
272,54.913,31.077,23.034,29.608
273,59.414,29.850,20.215,25.292
274,66.149,36.898,22.376,22.036
275,57.761,33.101,21.141,26.916
276,62.917,38.443,18.737,20.643
277,64.761,34.748,20.527,30.206
278,68.601,31.949,23.371,25.016
279,64.315,34.802,22.346,25.620
280,66.583,36.177,24.127,30.168
281,68.897,39.402,24.615,27.586
282,71.220,41.654,25.912,26.199
283,67.739,35.511,22.044,25.339
284,65.369,41.313,16.961,23.806
285,63.919,39.542,17.049,27.219
286,60.528,43.457,18.059,29.043
287,65.312,37.416,25.834,26.715
288,65.181,38.825,23.907,23.084
289,65.335,41.118,25.044,21.952
290,64.465,41.867,20.098,29.891
291,59.167,38.874,22.834,23.034
292,60.794,40.254,22.517,26.608
293,64.674,39.901,23.673,28.419
294,62.624,43.107,15.000,25.950
295,54.800,40.240,20.185,22.928
296,58.982,42.840,19.732,21.120
297,57.301,39.818,16.102,22.733
298,57.233,34.221,15.263,27.953
299,61.896,32.399,18.751,28.659
300,54.616,32.383,26.800,20.717
301,51.839,38.964,12.093,21.491
302,49.541,44.043,13.029,28.387
303,58.949,34.516,21.571,27.335
304,53.560,38.060,15.434,25.891
305,53.486,33.681,16.385,18.790
306,58.962,33.932,15.176,22.873
307,55.220,31.043,10.020,19.468
308,50.335,31.278,15.776,21.532
309,50.475,32.463,18.571,21.154
310,48.737,26.181,23.127,24.532
311,52.293,32.806,22.029,16.059
312,49.280,38.775,16.366,15.498
313,42.515,38.622,20.717,23.995
314,44.858,33.157,18.746,18.435
315,46.237,39.724,14.210,20.285
316,42.430,32.642,18.912,17.724
317,44.255,31.986,19.473,21.258
318,46.606,25.397,17.385,21.792
319,43.098,30.411,18.820,22.108
320,49.680,33.826,20.990,19.914
321,42.748,30.354,21.088,20.823
322,42.176,35.237,16.707,17.667
323,47.861,38.273,15.005,25.591
324,42.789,31.738,15.132,24.321
325,47.805,29.746,17.995,19.584
326,46.688,29.942,12.620,19.649
327,51.053,31.978,19.312,15.961
328,43.614,30.768,14.971,19.884
329,47.242,32.765,15.737,19.464
330,44.711,32.954,10.493,20.513
331,47.531,31.772,16.054,16.754
332,47.103,31.807,15.649,13.041
333,43.275,36.175,17.049,20.285
334,46.133,32.448,16.044,17.263
335,40.561,32.716,20.141,20.183
336,39.254,34.934,14.624,21.409
337,41.905,29.910,18.132,19.586
338,46.264,27.630,21.893,17.918
339,43.305,31.893,15.434,20.409
340,38.466,30.784,15.063,18.280
341,35.919,27.380,17.307,18.484
342,41.846,28.700,16.702,17.780
343,41.766,40.160,15.844,15.097
344,39.710,30.930,18.834,15.299
345,38.115,26.354,18.273,21.407
346,40.678,29.283,18.073,24.113
347,44.728,30.845,21.195,21.491
348,46.849,30.208,15.824,17.568
349,37.651,28.678,16.795,19.742
350,43.435,36.044,16.810,21.572
351,45.725,35.852,12.405,19.140
352,45.340,33.402,12.688,20.036
353,49.531,43.395,14.859,21.984
354,51.583,30.947,17.463,22.676
355,55.447,33.058,13.346,14.835
356,58.904,35.869,26.766,21.152
357,61.567,31.400,27.117,24.203
358,64.132,30.877,15.668,19.276
359,54.451,36.225,20.712,19.312
360,48.051,28.046,15.302,23.201
361,46.962,32.601,15.912,17.552
362,50.699,33.535,21.137,22.154
363,56.853,30.141,25.049,19.088
364,59.162,33.891,17.415,21.787
365,52.909,24.341,20.063,15.185
366,49.517,29.164,15.878,19.140
367,54.523,38.511,12.868,17.177
368,50.225,35.208,20.254,16.177
369,49.775,31.014,21.654,18.543
370,53.533,33.475,17.288,16.242
371,47.357,30.390,17.654,15.566
372,45.897,35.026,15.712,17.618
373,47.384,37.704,21.161,13.077
374,48.691,35.506,17.766,17.566
375,50.327,41.840,7.449,21.912
376,44.578,33.228,16.166,15.685
377,47.608,32.165,15.859,20.634
378,45.354,32.029,10.346,18.995
379,45.262,39.712,15.190,22.061
380,44.240,29.460,20.244,15.638
381,40.032,34.199,19.005,18.425
382,41.222,29.716,17.815,21.504
383,39.166,36.484,14.029,14.674
384,42.368,36.288,14.332,15.799
385,48.430,31.775,16.307,16.192
